Coal,España,Francia,HO=F,BZ=F,NG=F,CL=F,Portugal,Date
71.6,47.966667,40.384167,1.910599946975708,63.70999908447266,2.141000032424927,56.86999893188477,47.966667,2019-07-29
74.25,52.335,46.795,1.904399991035461,63.45999908447266,2.168999910354614,56.20000076293945,52.335,2019-07-26
74.4,53.6725,50.255417,1.914299964904785,63.38999938964844,2.24399995803833,56.02000045776367,53.6725,2019-07-25
74.2,55.830833,52.93,1.908699989318848,63.18000030517578,2.220000028610229,55.88000106811523,55.830833,2019-07-24
73.85,55.02875,46.06625,1.921700000762939,63.83000183105469,2.299999952316284,56.77000045776367,55.02875,2019-07-23
74.5,56.125833,41.800833,1.899500012397766,63.2599983215332,2.312000036239624,56.22000122070312,56.125833,2019-07-22
74.1,52.46375,42.3875,1.889600038528442,62.47000122070312,2.250999927520752,55.63000106811523,52.46375,2019-07-19
73.85,53.9225,40.96875,1.862499952316284,61.93000030517578,2.286999940872192,55.29999923706055,53.9225,2019-07-18
74.3,52.674583,45.221667,1.892600059509277,63.65999984741211,2.303999900817871,56.77999877929688,52.674583,2019-07-17
73.3,51.501667,42.90125,1.904899954795837,64.3499984741211,2.305999994277954,57.61999893188477,51.501667,2019-07-16
74.35,52.363333,39.6,1.951599955558777,66.4800033569336,2.407999992370605,59.58000183105469,52.363333,2019-07-15
74.6,57.094583,40.919583,1.980100035667419,66.72000122070312,2.453000068664551,60.20999908447266,56.952083,2019-07-12
75.05,53.995417,44.11125,1.978600025177002,66.5199966430664,2.415999889373779,60.20000076293945,53.995417,2019-07-11
75.45,51.4225,40.465417,1.991000056266785,67.01000213623047,2.444000005722046,60.43000030517578,51.4225,2019-07-10
74.9,52.47875,35.634167,1.910599946975708,64.16000366210938,2.424999952316284,57.83000183105469,52.47875,2019-07-09
75.2,51.152083,34.745,1.895300030708313,64.11000061035156,2.403000116348267,57.65999984741211,51.27375,2019-07-08
76.2,56.02375,33.83375,1.904999971389771,64.2300033569336,2.417999982833862,57.5099983215332,56.02375,2019-07-05
72.75,50.952083,31.819583,1.898699998855591,63.81999969482422,2.289999961853027,57.34000015258789,50.952083,2019-07-03
70.0,48.8075,33.945,1.886299967765808,62.40000152587891,2.240000009536743,56.25,48.8075,2019-07-02
68.0,48.322083,30.131667,1.953799962997437,65.05999755859375,2.266999959945679,59.09000015258789,48.322083,2019-07-01
70.9,51.940833,35.019167,1.944599986076355,66.55000305175781,2.308000087738037,58.47000122070312,51.940833,2019-06-28
71.0,49.530833,31.24625,1.952499985694885,66.55000305175781,2.323999881744385,59.43000030517578,49.530833,2019-06-27
70.9,47.27625,29.328333,1.971300005912781,66.48999786376953,2.290999889373779,59.38000106811523,47.27625,2019-06-26
70.95,50.07375,33.5375,1.923400044441223,65.05000305175781,2.308000087738037,57.83000183105469,50.07375,2019-06-25
70.6,48.610417,29.725417,1.908900022506714,64.86000061035156,2.302999973297119,57.90000152587891,48.610417,2019-06-24
71.3,46.7225,33.888333,1.915799975395203,65.19999694824219,2.186000108718872,57.43000030517578,46.7225,2019-06-21
70.5,46.567917,34.66375,1.884299993515015,64.44999694824219,2.184999942779541,56.65000152587891,46.567917,2019-06-20
70.6,46.991667,33.260417,1.829399943351746,61.81999969482422,2.276000022888184,53.7599983215332,46.991667,2019-06-19
70.8,46.6025,33.77,1.827800035476685,62.13999938964844,2.328000068664551,53.90000152587891,46.6025,2019-06-18
71.15,49.19,33.404167,1.799499988555908,60.93999862670898,2.385999917984009,51.93000030517578,49.19,2019-06-17
71.4,46.3225,34.501667,1.829399943351746,62.0099983215332,2.38700008392334,52.5099983215332,46.3225,2019-06-14
71.85,46.405,32.443333,1.806599974632263,61.31000137329102,2.325000047683716,52.27999877929688,46.405,2019-06-13
71.95,48.204167,39.476667,1.779899954795837,59.97000122070312,2.385999917984009,51.13999938964844,48.204167,2019-06-12
74.15,45.362917,40.333333,1.822100043296814,62.29000091552734,2.398999929428101,53.27000045776367,45.362917,2019-06-11
73.5,44.737083,31.259583,1.806300044059753,62.29000091552734,2.357000112533569,53.2599983215332,44.76375,2019-06-10
72.8,41.634583,26.446667,1.82480001449585,63.29000091552734,2.336999893188477,53.9900016784668,41.851667,2019-06-07
73.0,43.824167,33.534167,1.788300037384033,61.66999816894531,2.323999881744385,52.59000015258789,43.824167,2019-06-06
72.85,45.327083,35.112917,1.779999971389771,60.63000106811523,2.378000020980835,51.68000030517578,45.411667,2019-06-05
73.35,49.41125,35.596667,1.821499943733215,61.97000122070312,2.415999889373779,53.47999954223633,49.41125,2019-06-04
73.25,53.415,35.22,1.80649995803833,61.27999877929688,2.403000116348267,53.25,53.415,2019-06-03
83.4,55.321667,33.81875,1.841799974441528,64.48999786376953,2.453999996185303,53.5,55.321667,2019-05-31
83.4,52.413333,19.287917,1.914999961853027,66.87000274658203,2.546999931335449,56.59000015258789,52.413333,2019-05-30
83.45,47.577917,37.491667,1.967499971389771,69.44999694824219,2.632999897003174,58.81000137329102,47.577917,2019-05-29
83.3,47.1625,34.52,1.992499947547913,70.11000061035156,2.582000017166138,59.13999938964844,47.1625,2019-05-28
83.65,49.043333,38.814167,1.971300005912781,68.69000244140625,2.598000049591064,58.63000106811523,49.043333,2019-05-24
83.75,57.069167,39.6725,1.962399959564209,67.76000213623047,2.578000068664551,57.90999984741211,57.069167,2019-05-23
84.0,57.985,40.085,2.049099922180176,70.98999786376953,2.542999982833862,61.41999816894531,57.985,2019-05-22
83.85,56.867083,42.650417,2.079400062561035,72.18000030517578,2.61299991607666,62.9900016784668,56.867083,2019-05-21
83.85,52.742917,45.492917,2.073600053787231,71.97000122070312,2.67300009727478,63.09999847412109,52.742917,2019-05-20
84.1,43.797917,42.109583,2.095499992370605,72.20999908447266,2.63100004196167,62.7599983215332,43.797917,2019-05-17
84.15,52.4725,39.7275,2.123199939727783,72.62000274658203,2.638999938964844,62.86999893188477,52.4725,2019-05-16
84.45,53.697917,40.724167,2.086299896240234,71.7699966430664,2.601000070571899,62.02000045776367,53.697917,2019-05-15
84.8,51.417917,40.565417,2.058900117874146,71.23999786376953,2.658999919891357,61.77999877929688,51.417917,2019-05-14
85.55,47.127083,39.207083,2.038399934768677,70.2300033569336,2.621000051498413,61.04000091552734,47.127083,2019-05-13
86.15,47.265417,44.876667,2.050400018692017,70.62000274658203,2.61899995803833,61.65999984741211,47.265417,2019-05-10
86.25,45.796667,44.655833,2.043600082397461,70.38999938964844,2.595000028610229,61.70000076293945,46.974583,2019-05-09
87.2,38.7675,38.40375,2.05620002746582,70.37000274658203,2.609999895095825,62.11999893188477,38.935417,2019-05-08
87.0,51.922083,50.015417,2.037600040435791,69.87999725341797,2.536999940872192,61.40000152587891,51.894167,2019-05-07
86.95,53.050417,44.75875,2.067600011825562,71.23999786376953,2.523999929428101,62.25,53.050417,2019-05-06
87.6,50.0975,40.78375,2.070199966430664,70.8499984741211,2.566999912261963,61.93999862670898,50.682083,2019-05-03
87.2,45.64625,38.927917,2.077800035476685,70.75,2.58899998664856,61.81000137329102,46.143333,2019-05-02
87.2,50.28625,28.342083,2.094199895858765,72.18000030517578,2.619999885559082,63.59999847412109,50.49125,2019-05-01
87.3,58.77875,42.85,2.081199884414673,72.80000305175781,2.575000047683716,63.90999984741211,58.77875,2019-04-30
86.9,57.909167,42.063333,2.054899930953979,72.04000091552734,2.592999935150146,63.5,57.909167,2019-04-29
85.2,48.924583,39.966667,2.051199913024902,72.1500015258789,2.565999984741211,63.29999923706055,48.924583,2019-04-26
85.45,29.685833,28.660417,2.098099946975708,74.3499984741211,2.513999938964844,65.20999908447266,29.685833,2019-04-25
84.65,40.007917,33.390833,2.098700046539307,74.56999969482422,2.461999893188477,65.88999938964844,40.07125,2019-04-24
84.6,49.2225,26.936667,2.118000030517578,74.51000213623047,2.454999923706055,66.30000305175781,49.2225,2019-04-23
84.45,55.762083,10.855833,2.104000091552734,74.04000091552734,2.523999929428101,65.69999694824219,55.762083,2019-04-22
84.45,55.092083,41.550833,2.070899963378906,71.97000122070312,2.490000009536743,64.0,55.812083,2019-04-18
84.6,47.05,42.25625,2.069200038909912,71.62000274658203,2.516999959945679,63.7599983215332,47.430417,2019-04-17
84.1,57.174583,45.254583,2.082200050354004,71.72000122070312,2.572000026702881,64.05000305175781,57.174583,2019-04-16
84.35,53.8,46.914583,2.061000108718872,71.18000030517578,2.589999914169312,63.40000152587891,53.775417,2019-04-15
84.2,56.969167,44.901667,2.07069993019104,71.55000305175781,2.660000085830688,63.88999938964844,56.969167,2019-04-12
84.15,54.652917,44.74125,2.067199945449829,70.83000183105469,2.664000034332275,63.58000183105469,54.637083,2019-04-11
82.2,50.829583,44.071667,2.087599992752075,71.7300033569336,2.700000047683716,64.61000061035156,50.727917,2019-04-10
81.2,50.308333,42.7225,2.044899940490723,70.61000061035156,2.698999881744385,63.97999954223633,50.308333,2019-04-09
80.4,53.258333,45.4175,2.057100057601929,71.0999984741211,2.70799994468689,64.4000015258789,53.027917,2019-04-08
78.85,51.351667,43.529583,2.042399883270264,70.33999633789062,2.664000034332275,63.08000183105469,51.351667,2019-04-05
77.7,53.385833,43.7975,2.013400077819824,69.4000015258789,2.642999887466431,62.09999847412109,53.385833,2019-04-04
79.0,52.92625,42.930417,2.006799936294556,69.30999755859375,2.677000045776367,62.45999908447266,52.860417,2019-04-03
81.1,57.982083,35.728333,2.008899927139282,69.37000274658203,2.684000015258789,62.58000183105469,57.982083,2019-04-02
82.5,58.43375,36.669583,1.988100051879883,69.01000213623047,2.70799994468689,61.59000015258789,58.43375,2019-04-01
92.75,52.998333,39.33875,1.973399996757507,68.38999938964844,2.661999940872192,60.13999938964844,52.998333,2019-03-29
92.95,50.826667,40.479167,1.972000002861023,67.81999969482422,2.711999893188477,59.29999923706055,50.826667,2019-03-28
93.5,47.180417,39.97375,1.980599999427795,67.83000183105469,2.713000059127808,59.40999984741211,47.180417,2019-03-27
93.2,41.087083,37.294167,1.98989999294281,67.97000122070312,2.740000009536743,59.93999862670898,41.142083,2019-03-26
93.55,42.531667,33.860833,1.980399966239929,67.20999908447266,2.755000114440918,58.81999969482422,44.47,2019-03-25
93.3,55.727917,40.449583,1.96589994430542,67.02999877929688,2.753000020980835,59.04000091552734,55.727917,2019-03-22
93.5,52.42875,39.935,1.987100005149841,67.86000061035156,2.821000099182129,59.97999954223633,52.530417,2019-03-21
93.55,48.639167,41.963333,2.008100032806396,68.5,2.819999933242798,59.83000183105469,48.639167,2019-03-20
93.45,49.884583,45.312917,1.990399956703186,67.61000061035156,2.874000072479248,59.02999877929688,49.884583,2019-03-19
93.8,48.76875,38.601667,1.968999981880188,67.54000091552734,2.849999904632568,59.09000015258789,48.76875,2019-03-18
93.85,54.786667,29.845417,1.967700004577637,67.16000366210938,2.795000076293945,58.52000045776367,55.63,2019-03-15
94.6,51.589167,35.128333,1.984899997711182,67.2300033569336,2.855000019073486,58.61000061035156,51.742917,2019-03-14
94.5,45.86,28.876667,1.99210000038147,67.55000305175781,2.819999933242798,58.2599983215332,45.883333,2019-03-13
95.05,52.039583,39.41,1.985700011253357,66.66999816894531,2.783999919891357,56.86999893188477,52.06125,2019-03-12
94.55,51.8875,39.277917,1.994199991226196,66.58000183105469,2.772000074386597,56.79000091552734,51.8875,2019-03-11
95.55,55.704167,40.027917,1.999799966812134,65.73999786376953,2.865000009536743,56.06999969482422,55.704167,2019-03-08
97.6,50.474167,32.6525,2.012700080871582,66.30000305175781,2.865999937057495,56.65999984741211,51.395417,2019-03-07
97.45,37.8225,35.975417,2.016200065612793,65.98999786376953,2.841000080108643,56.22000122070312,37.85375,2019-03-06
98.05,52.61,40.41125,2.016400098800659,65.86000061035156,2.884000062942505,56.56000137329102,52.61,2019-03-05
98.15,41.1075,29.229167,2.014300107955933,65.66999816894531,2.857000112533569,56.59000015258789,43.61125,2019-03-04
97.0,54.442917,44.3525,2.000999927520752,65.06999969482422,2.858999967575073,55.79999923706055,54.442917,2019-03-01
96.05,52.929167,40.085,2.023499965667725,66.02999877929688,2.812000036239624,57.22000122070312,53.009167,2019-02-28
94.9,52.807917,43.427083,2.021600008010864,66.38999938964844,2.799000024795532,56.93999862670898,52.807917,2019-02-27
94.8,53.127917,43.745417,1.998499989509583,65.20999908447266,2.855000019073486,55.5,53.127917,2019-02-26
93.7,55.319167,44.440833,1.974599957466125,64.76000213623047,2.835999965667725,55.47999954223633,55.832917,2019-02-25
95.05,53.27625,47.019583,2.031100034713745,67.12000274658203,2.717000007629395,57.2599983215332,53.27625,2019-02-22
95.2,54.763333,47.025417,2.03629994392395,67.06999969482422,2.697000026702881,56.95999908447266,54.923333,2019-02-21
95.2,57.507917,47.157083,2.01830005645752,67.08000183105469,2.635999917984009,56.91999816894531,57.507917,2019-02-20
95.2,58.889583,47.0175,1.994600057601929,66.44999694824219,2.661999940872192,56.09000015258789,58.889583,2019-02-19
94.85,55.286667,48.84625,2.020299911499023,66.25,2.625,55.59000015258789,55.286667,2019-02-15
94.95,56.380417,50.45125,1.97160005569458,64.56999969482422,2.572999954223633,54.40999984741211,56.380417,2019-02-14
95.7,61.51,49.695417,1.938799977302551,63.61000061035156,2.575000047683716,53.90000152587891,61.647083,2019-02-13
95.65,60.562083,51.39,1.90719997882843,62.41999816894531,2.687999963760376,53.09999847412109,60.613333,2019-02-12
96.7,56.249583,47.130417,1.892199993133545,61.5099983215332,2.641999959945679,52.40999984741211,57.860833,2019-02-11
97.2,56.472917,47.393333,1.908499956130981,62.09999847412109,2.58299994468689,52.72000122070312,58.209167,2019-02-08
97.8,58.089583,48.2075,1.900500059127808,61.63000106811523,2.551000118255615,52.63999938964844,59.51,2019-02-07
98.3,61.26125,52.995,1.912199974060059,62.68999862670898,2.661999940872192,54.0099983215332,61.404167,2019-02-06
98.3,60.412083,58.362917,1.897500038146973,61.97999954223633,2.661999940872192,53.65999984741211,61.660417,2019-02-05
98.2,58.950833,57.229167,1.907400012016296,62.5099983215332,2.660000085830688,54.56000137329102,61.224167,2019-02-04
98.35,52.68125,59.494583,1.912700057029724,61.86999893188477,2.733999967575073,55.2599983215332,52.68125,2019-02-01
99.0,54.880833,61.134167,1.87880003452301,61.88999938964844,2.813999891281128,53.79000091552734,54.880833,2019-01-31
99.3,57.97875,59.177917,1.898399949073792,61.65000152587891,2.854000091552734,54.22999954223633,59.69,2019-01-30
99.2,59.535417,62.672917,1.897500038146973,61.31999969482422,2.950000047683716,53.31000137329102,62.726667,2019-01-29
99.45,55.712083,55.892083,1.837700009346008,59.93000030517578,2.91100001335144,51.9900016784668,57.393333,2019-01-28
98.75,61.986667,69.531667,1.891899943351746,61.63999938964844,3.177999973297119,53.68999862670898,62.944167,2019-01-25
99.0,61.043333,85.942917,1.885599970817566,61.09000015258789,3.098999977111816,53.13000106811523,61.043333,2019-01-24
99.2,60.32375,76.070417,1.888599991798401,61.13999938964844,2.980000019073486,52.61999893188477,60.32375,2019-01-23
99.2,64.551667,72.316667,1.901100039482117,61.5,3.039999961853027,52.56999969482422,64.551667,2019-01-22
99.75,67.979583,66.67875,1.916000008583069,62.70000076293945,3.482000112533569,53.79999923706055,67.979583,2019-01-18
100.3,65.59625,61.558333,1.884299993515015,61.18000030517578,3.413000106811523,52.06999969482422,65.569583,2019-01-17
99.7,69.426667,62.700417,1.894600033760071,61.31999969482422,3.384000062942505,52.31000137329102,69.426667,2019-01-16
98.7,67.024583,60.94,1.872200012207031,60.63999938964844,3.500999927520752,52.11000061035156,67.024583,2019-01-15
97.35,63.342083,56.65,1.852499961853027,58.9900016784668,3.591000080108643,50.5099983215332,66.193333,2019-01-14
98.05,63.88625,65.344167,1.879699945449829,60.47999954223633,3.098999977111816,51.59000015258789,63.88625,2019-01-11
97.85,62.4025,69.233333,1.906100034713745,61.68000030517578,2.969000101089478,52.59000015258789,62.4025,2019-01-10
98.1,60.61,57.7575,1.880800008773804,61.43999862670898,2.983999967575073,52.36000061035156,61.695833,2019-01-09
97.8,62.525833,57.798333,1.827000021934509,58.72000122070312,2.967000007629395,49.77999877929688,62.555,2019-01-08
99.05,63.319583,62.78375,1.77839994430542,57.33000183105469,2.944000005722046,48.52000045776367,63.319583,2019-01-07
99.5,66.835833,64.926667,1.769199967384338,57.06000137329102,3.043999910354614,47.95999908447266,66.835833,2019-01-04
99.6,64.009583,61.24625,1.741999983787537,55.95000076293945,2.944999933242798,47.09000015258789,63.961667,2019-01-03
101.1,60.540833,54.270833,1.700600028038025,54.90999984741211,2.95799994468689,46.54000091552734,61.585417,2019-01-02
102.05,61.795,55.321667,1.680799961090088,53.79999923706055,2.940000057220459,45.40999984741211,61.795,2018-12-31
101.9,63.785417,60.839167,1.664700031280518,52.20000076293945,3.302999973297119,45.33000183105469,63.785417,2018-12-28
101.55,67.634583,61.50625,1.678300023078918,52.15999984741211,3.641999959945679,44.61000061035156,67.634583,2018-12-27
101.0,62.993333,52.689167,1.73360002040863,54.47000122070312,3.542999982833862,46.22000122070312,63.088333,2018-12-26
101.0,64.089167,50.32875,1.662199974060059,50.47000122070312,3.467000007629395,42.52999877929688,64.089167,2018-12-24
101.7,60.559167,53.955,1.732699990272522,53.81999969482422,3.815999984741211,45.59000015258789,60.559167,2018-12-21
101.65,63.3975,59.45875,1.749699950218201,54.34999847412109,3.58299994468689,45.88000106811523,63.3975,2018-12-20
101.6,60.294167,61.11625,1.805400013923645,57.2400016784668,3.726000070571899,47.20000076293945,60.255833,2018-12-19
101.5,61.805417,61.917917,1.753900051116943,56.2599983215332,3.838000059127808,46.2400016784668,61.589583,2018-12-18
101.85,64.085,70.045417,1.82669997215271,59.61000061035156,3.528000116348267,49.88000106811523,64.99,2018-12-17
102.3,61.805417,75.335417,1.845299959182739,60.27999877929688,3.82699990272522,51.20000076293945,61.805417,2018-12-14
102.15,60.551667,69.83125,1.876500010490417,61.45000076293945,4.124000072479248,52.58000183105469,60.422917,2018-12-13
101.65,64.510833,71.007917,1.850900053977966,60.15000152587891,4.136000156402588,51.15000152587891,64.510833,2018-12-12
102.15,65.205,62.315417,1.847100019454956,60.20000076293945,4.407000064849854,51.65000152587891,65.205,2018-12-11
102.65,62.443333,50.981667,1.844099998474121,59.97000122070312,4.545000076293945,51.0,62.507083,2018-12-10
102.55,61.58125,48.658333,1.886199951171875,61.66999816894531,4.48799991607666,52.61000061035156,61.58125,2018-12-07
102.55,61.093333,57.59375,1.858199954032898,60.06000137329102,4.327000141143799,51.4900016784668,61.093333,2018-12-06
102.85,66.542917,60.349167,1.90090000629425,62.08000183105469,4.456999778747559,53.25,66.542917,2018-12-04
102.45,61.777083,51.99,1.887500047683716,61.68999862670898,4.339000225067139,52.95000076293945,62.64375,2018-12-03
101.7,62.655833,62.18,1.845499992370605,58.70999908447266,4.611999988555908,50.93000030517578,62.67,2018-11-30
101.55,61.885833,62.377083,1.843600034713745,59.5099983215332,4.645999908447266,51.45000076293945,61.885833,2018-11-29
101.55,62.455417,62.239167,1.83840000629425,58.7599983215332,4.715000152587891,50.29000091552734,62.455417,2018-11-28
101.55,64.694583,77.495417,1.886000037193298,60.20999908447266,4.26200008392334,51.56000137329102,64.70375,2018-11-27
101.4,58.599167,89.12125,1.89300000667572,60.47999954223633,4.248000144958496,51.63000106811523,58.599167,2018-11-26
101.75,67.082917,84.76125,1.876199960708618,58.79999923706055,4.308000087738037,50.41999816894531,67.082917,2018-11-23
102.45,64.59,115.13,1.970199942588806,63.47999954223633,4.451000213623047,54.63000106811523,64.59,2018-11-21
102.3,63.794167,95.19,1.990200042724609,62.52999877929688,4.52299976348877,53.43000030517578,63.794167,2018-11-20
102.95,68.49375,74.311667,2.086400032043457,66.79000091552734,4.699999809265137,56.7599983215332,68.49375,2018-11-19
102.5,64.545417,67.303333,2.073699951171875,66.76000213623047,4.271999835968018,56.45999908447266,64.545417,2018-11-16
104.15,64.489167,66.375833,2.074100017547607,66.62000274658203,4.038000106811523,56.45999908447266,64.489167,2018-11-15
103.35,62.65625,64.472083,2.095900058746338,66.12000274658203,4.836999893188477,56.25,62.65625,2018-11-14
105.5,65.234583,64.74,2.0625,65.47000122070312,4.10099983215332,55.68999862670898,65.234583,2018-11-13
105.85,64.014583,62.879167,2.155600070953369,70.12000274658203,3.788000106811523,59.93000030517578,64.802083,2018-11-12
105.9,59.1825,60.518333,2.172800064086914,70.18000030517578,3.719000101089478,60.18999862670898,59.186667,2018-11-09
105.35,62.61875,62.95625,2.168299913406372,70.6500015258789,3.542999982833862,60.66999816894531,62.61875,2018-11-08
105.45,59.8975,57.262917,2.237099885940552,72.06999969482422,3.555000066757202,61.66999816894531,59.8975,2018-11-07
103.5,59.15375,60.2425,2.188299894332886,72.12999725341797,3.555000066757202,62.20999908447266,59.207917,2018-11-06
103.9,60.689583,62.705417,2.196300029754639,73.16999816894531,3.566999912261963,63.09999847412109,60.689583,2018-11-05
103.4,63.798333,65.98,2.172800064086914,72.83000183105469,3.283999919891357,63.13999938964844,63.798333,2018-11-02
102.85,63.915417,54.11625,2.200799942016602,75.5,3.236999988555908,63.68999862670898,63.915417,2018-11-01
105.2,68.500833,73.27,2.261800050735474,75.47000122070312,3.260999917984009,65.30999755859375,68.500833,2018-10-31
107.5,65.404583,73.11625,2.259799957275391,75.91000366210938,3.187000036239624,66.18000030517578,65.404583,2018-10-30
108.0,59.9625,74.309167,2.284300088882446,77.33999633789062,3.184999942779541,67.04000091552734,59.9625,2018-10-29
109.65,71.047083,70.504583,2.302999973297119,77.62000274658203,3.184999942779541,67.58999633789062,71.047083,2018-10-26
109.75,70.652083,71.67125,2.27810001373291,76.88999938964844,3.20199990272522,67.33000183105469,70.652083,2018-10-25
109.75,66.055833,67.24875,2.252099990844727,76.16999816894531,3.165999889373779,66.81999969482422,66.055833,2018-10-24
109.5,62.679583,63.498333,2.248399972915649,76.44000244140625,3.211999893188477,66.43000030517578,62.679583,2018-10-23
110.1,63.185417,62.7275,2.318099975585938,79.83000183105469,3.138000011444092,69.16999816894531,63.185417,2018-10-22
110.0,62.594583,66.525,2.302000045776367,79.77999877929688,3.25,69.12000274658203,62.565417,2018-10-19
109.75,65.366667,66.165833,2.294899940490723,79.29000091552734,3.197999954223633,68.6500015258789,65.298333,2018-10-18
109.15,72.081667,74.8175,2.311100006103516,80.05000305175781,3.319999933242798,69.75,72.081667,2018-10-17
109.1,73.347083,74.0375,2.340199947357178,81.41000366210938,3.239000082015991,71.91999816894531,73.347083,2018-10-16
109.25,61.385833,67.75625,2.325700044631958,80.77999877929688,3.242000102996826,71.77999877929688,64.980417,2018-10-15
109.2,61.657917,61.49,2.321300029754639,80.43000030517578,3.16100001335144,71.33999633789062,61.702083,2018-10-12
108.7,64.870833,65.3075,2.332200050354004,80.26000213623047,3.221999883651733,70.97000122070312,64.870833,2018-10-11
109.85,67.330833,68.035833,2.39490008354187,83.08999633789062,3.283999919891357,73.16999816894531,67.330833,2018-10-10
110.95,69.78,75.204167,2.423799991607666,85.0,3.266000032424927,74.95999908447266,69.78,2018-10-09
112.75,68.005,70.234583,2.394200086593628,83.91000366210938,3.266999959945679,74.29000091552734,68.005,2018-10-08
113.65,72.95375,67.388333,2.392299890518188,84.16000366210938,3.142999887466431,74.33999633789062,72.95375,2018-10-05
113.75,73.880833,71.50125,2.399699926376343,84.58000183105469,3.164999961853027,74.33000183105469,73.880833,2018-10-04
113.9,71.27625,68.710833,2.43720006942749,86.29000091552734,3.230000019073486,76.41000366210938,71.27625,2018-10-03
114.05,66.172917,66.27125,2.407599925994873,84.80000305175781,3.165999889373779,75.2300033569336,66.172917,2018-10-02
114.6,64.424583,65.05125,2.407900094985962,84.9800033569336,3.094000101089478,75.30000305175781,65.5125,2018-10-01
113.85,75.92375,61.720833,2.351799964904785,82.72000122070312,3.007999897003174,73.25,75.92375,2018-09-28
113.7,73.1225,64.441667,2.323100090026855,81.72000122070312,3.055999994277954,72.12000274658203,73.1225,2018-09-27
113.7,71.11625,63.63875,2.299799919128418,81.33999633789062,3.020999908447266,71.56999969482422,71.11625,2018-09-26
113.7,68.12875,65.305417,2.305299997329712,81.87000274658203,3.082000017166138,72.27999877929688,68.19375,2018-09-25
113.75,65.719167,65.6725,2.285900115966797,81.19999694824219,3.038000106811523,72.08000183105469,66.358333,2018-09-24
